"id","name","set_id","number","rarity","supertype","types","hp","evolvesFrom","artist","images_small","images_large"
"base1-1","Alakazam","base1","1","Rare Holo","Pokémon","Psychic","80","Kadabra","Ken Sugimori","https://images.pokemontcg.io/base1/1.png","https://images.pokemontcg.io/base1/1_hires.png"
"base1-2","Blastoise","base1","2","Rare Holo","Pokémon","Water","100","Wartortle","Ken Sugimori","https://images.pokemontcg.io/base1/2.png","https://images.pokemontcg.io/base1/2_hires.png"
"base1-3","Chansey","base1","3","Rare Holo","Pokémon","Colorless","120","","Ken Sugimori","https://images.pokemontcg.io/base1/3.png","https://images.pokemontcg.io/base1/3_hires.png"
"base1-4","Charizard","base1","4","Rare Holo","Pokémon","Fire","120","Charmeleon","Mitsuhiro Arita","https://images.pokemontcg.io/base1/4.png","https://images.pokemontcg.io/base1/4_hires.png"
"base1-5","Clefairy","base1","5","Rare Holo","Pokémon","Colorless","40","","Ken Sugimori","https://images.pokemontcg.io/base1/5.png","https://images.pokemontcg.io/base1/5_hires.png"
"base1-6","Gyarados","base1","6","Rare Holo","Pokémon","Water","100","Magikarp","Mitsuhiro Arita","https://images.pokemontcg.io/base1/6.png","https://images.pokemontcg.io/base1/6_hires.png"
"base1-7","Hitmonchan","base1","7","Rare Holo","Pokémon","Fighting","70","","Ken Sugimori","https://images.pokemontcg.io/base1/7.png","https://images.pokemontcg.io/base1/7_hires.png"
"base1-8","Machamp","base1","8","Rare Holo","Pokémon","Fighting","100","Machoke","Ken Sugimori","https://images.pokemontcg.io/base1/8.png","https://images.pokemontcg.io/base1/8_hires.png"
"base1-9","Magneton","base1","9","Rare Holo","Pokémon","Lightning","60","Magnemite","Keiji Kinebuchi","https://images.pokemontcg.io/base1/9.png","https://images.pokemontcg.io/base1/9_hires.png"
"base1-10","Mewtwo","base1","10","Rare Holo","Pokémon","Psychic","60","","Ken Sugimori","https://images.pokemontcg.io/base1/10.png","https://images.pokemontcg.io/base1/10_hires.png"
"base1-11","Nidoking","base1","11","Rare Holo","Pokémon","Grass","90","Nidorino","Ken Sugimori","https://images.pokemontcg.io/base1/11.png","https://images.pokemontcg.io/base1/11_hires.png"
"base1-12","Ninetales","base1","12","Rare Holo","Pokémon","Fire","80","Vulpix","Ken Sugimori","https://images.pokemontcg.io/base1/12.png","https://images.pokemontcg.io/base1/12_hires.png"
"base1-13","Poliwrath","base1","13","Rare Holo","Pokémon","Water","90","Poliwhirl","Ken Sugimori","https://images.pokemontcg.io/base1/13.png","https://images.pokemontcg.io/base1/13_hires.png"
